sentiment,review_body,product_category
-1,I love maeve and was so excited for this top which looked like an update from a last season favorite. unfortunately the fabric was stiff  it was tight in the chest and went straight down from there. returned.,Blouses
-1,Looks lovely in the picture but looks poorly made in person  runs very small. i returned it.,Blouses
-1,This top is too short  so much so that tucking it in would be difficult. the designs are lovely  but the short length is putting this top back on the rack.,Blouses
-1,Material is awful. not soft at all. colors are much darker than shows online. it is actually very short not at all as it looks on the model. it went back.,Blouses
-1,I love maeve but this shirt's quality was poor and it was not worth the price. i would not recommend buying this online. you really need to try the blouse on in the store to make the decision as to if its worth purchasing or not...... and in my case this is being sent back.,Blouses
-1,I was obsessed with this top. i ordered my normal 4 and was bummed about the fit in the shoulders. the slight puff was too far in  it didn't hit on my shoulder. so i returned it to a store and ordered a 6. it came quickly but it was still too narrow in the shoulders. i took it to the store and held it against the 4 and the seam was the same length between the neck and shoulder as the 4. both returned. i had no hope for an 8.,Blouses
-1,I received this as a gift. it is a very pretty top  but the material is sooo delicate that the cutout areas were torn in many spots and where it wasn't torn completely you could see it fraying. the sales associate said they get many returns on this item.,Blouses
-1,This is a beautiful shirt. the back is a few inches longer than the front which makes for a cool effect.  the only thing that i didn't like about this shirt was how fragile the buttons on the back are. i was taking this shirt off and one popped off. when i went to hang it  another one popped off! so i had to return it. such a shame.,Blouses
-1,Usually wear s and xs  tried this in s at store but the sides were still lumpy after zipping the size zipper up. if i tried xs it would have looked better but may be bit too tight. the sides of the arm holes were also cut very low. it also has a dusty grey sheen to it that makes it look like old velvet in a bad way. two layers  green on outside  and a polyester beige layer underneath.  but definitely a showpiece that can be paired with a short jacket.,Blouses
0,"Wish someone warned of the navy one being not as pictured!! i ordered the navy because the crocheted part appeared to be more intricate than the ivory. in reality the navy knit is just like the ivory. it seems well made but very delicate. i'm not a fan of tops (especially pricey ones) that require a camisole but this top is a very ""retailer"" piece so most likely i will keep it  just a bit disappointed.",Blouses
0,The shirt is great except for the arms!! the band around the arms are tight and it makes the arm holes gape weirdly unless you are standing with your arms straight down by your side.,Blouses
0,Ordered this top online and wanted to love it but the fit was very off. i love the drape in the front  but it did not hit in the right place. the fabric was soft  but not as high end looking as i was expecting. i love flannel tops and wanted a more formal look  but sadly this is going back.,Blouses
0,I so badly wanted this top to work. it looks so cute! but  as soon as i tried it on  i knew it wasn't a keeper. i didn't even need a mirror! it's not suited for those of us with a bust (i'm a 34d) and anything but a lanky model-esque frame. i suggest sizing up if you're busty and want to give it a try. it looked dowdy on me.,Blouses
0,"I was initially drawn to the intricate floral design of the neutral motif. it looks huge and boxy  so i sized down to a 0- which ended up being too tight in the chest and arm holes (for reference  i'm 5'7""  130lbs  34a). i returned it for a size 2  which fit much better. in the end  i decided not to keep it because of the lack of shape  and it's a little unflattering for smaller busts. it does come with a matching cami and seems well-made  but it just wasn't for me.",Blouses
0,I tried this on at the store  and though it was pretty  i was a little underwhelmed. it fit but had no give so it might not have been too comfortable for movement unless sized up. the embroidered polka dots were a lovely idea  but the quality was not great - they were already fraying and pretty irregular looking. the idea of the top was better than the execution.,Blouses
0,I'm 5'7  125lbs  and the small fits perfectly. the sleeves are the right length (i have long arms and legs)  and the body fits loosely  without looking sloppy. at my height  the small is not long enough to wear as a tunic  which is fine.    unfortunately  the shirt arrived with makeup stains around the laces and the inside of the shirt  so i had to wash it before wearing it.    i only purchased this shirt because it was on sale.,Blouses
0,"I bought this online in my usual size (petite xxs) for in-store pickup. when i tried it on  the kindest word to describe it would be ""voluminous""--it was at least 2 sizes too big on me. i looked like i had taken grandma's tablecloth and constructed a homemade blouse. the blouse comes with an attached cami  which was also way too big for me. the color is not white (as described)  but rather an ivory/cream color--definitely not the best shade for my light olive skin. i do think that it looks lovel",Blouses
0,"It does run large as most reviewers noted. i opted for the pxs and it was still very large and the way that the elastic at the top hit me it bunched funny and made my chest look huge and i'm only a b cup. it added a good two cup sizes to my chest and it just looked odd. the length of the petite was good for me at only 5'4"" so the length did not overwhelm but the width was still really too wide. love the fabric and the lace at the hemline. it just wasn't for me but for those it works for it is be",Blouses
1,"I seldom buy prints and almost never buy a traditional button front blouse but this shirt is my favorite purchase of the season. i chose the skier print as it was whimsical and subtle. rather than wear it buttoned and tucked i use it as a jacket over solid tees. i bought it a size larger for this reason. i like the layered look and the fabric is flowy and drapes nicely. i have been so pleased with every piece of ""maeve"" clothing i have purchased. once again thinking slightly outside my comfort-z",Blouses
1,Love the detail and the way it hangs. i sometimes struggle with blousy tops because i have a larger chest  but this one didn't make me look pregnant! i purchased this with the 30% off... i wouldn't have paid full price for it.,Blouses
1,Tops are a challenge for me. i am top heavy so i often have to size up to avoid pulling in the bust. this one is not over sized in the bust but i am able to open the laceing for a little more wiggle room but still not look like i am wearing a tent. fabric is wonderful. it is not too thin and not too thick.? it does pull up slightly in the wash. it requires a little ironing or a good steaming.,Blouses
